"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (GBP)"
"30/06/2024","Order Payment","026-4736892-9990765","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"30/06/2024","Order Payment","203-7130725-6531549","BUCKHEAD Boston Casual Men Sneakers (Bla...","56.64","0","-17.88","11.34","50.1"
"30/06/2024","Order Payment","206-4577119-5130720","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-8.78","5.67","25.21"
"30/06/2024","Order Payment","205-4740258-3976320","BUCKHEAD Unisex Casual Sneakers for Wome...","19.99","0","-7.57","4","16.42"
"30/06/2024","Order Payment","203-3652549-5757152","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-8.78","5.67","25.21"
"30/06/2024","Order Payment","206-9315258-1845919","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-15.01","10.66","23.97"
"30/06/2024","Order Payment","204-8991566-2109903","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-9.1","7.33","24.89"
"30/06/2024","Order Payment","204-6241566-6061114","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"30/06/2024","Order Payment","026-4673464-0456365","BUCKHEAD Boston Casual Men Sneakers (Whi...","19.99","0","-9.32","4","14.67"
"30/06/2024","Order Payment","204-8984288-0720365","BUCKHEAD Boston Casual Men Sneakers (Gre...","19.99","0","-9.32","4","14.67"
"30/06/2024","Order Payment","202-9050886-2485917","BUCKHEAD Unisex Casual Sneakers for Wome...","19.99","0","-9.32","4","14.67"
"30/06/2024","Order Payment","203-3963834-7249934","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"30/06/2024","Order Payment","026-6498128-3149906","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"30/06/2024","Order Payment","205-8012443-5135531","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"30/06/2024","Order Payment","206-1625082-4593133","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-15.01","10.66","23.97"
"30/06/2024","Order Payment","203-1072487-1809944","BUCKHEAD Unisex Casual Sneakers for Wome...","19.99","0","-9.32","4","14.67"
"30/06/2024","Order Payment","203-9979657-0871549","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"30/06/2024","Order Payment","206-1494828-8228362","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-15.01","10.66","23.97"
"30/06/2024","Order Payment","202-9050886-2485917","BUCKHEAD Unisex Casual Sneakers for Wome...","19.99","0","-9.32","4","14.67"
"30/06/2024","Order Payment","202-4380046-1058710","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-10.85","7.33","23.14"
"30/06/2024","Refund","204-7540975-7369149","BUCKHEAD Boston Casual Men Sneakers (Bla...","0","0","4.16","-4.99","-0.83"
"30/06/2024","Order Payment","205-3962914-7685968","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"29/06/2024","Order Payment","206-6120409-2821962","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"29/06/2024","Order Payment","204-6443664-2318765","BUCKHEAD Boston Casual Men Sneakers (Whi...","19.99","0","-9.32","4","14.67"
"29/06/2024","Order Payment","203-7868260-3291546","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"29/06/2024","Order Payment","206-1795029-1033924","BUCKHEAD Unisex Casual Sneakers for Wome...","19.99","0","-9.32","4","14.67"
"29/06/2024","Order Payment","205-4754070-1337912","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-8.78","5.67","25.21"
"29/06/2024","Order Payment","203-6770225-7590762","BUCKHEAD Unisex Casual Sneakers for Wome...","19.99","0","-7.25","4","16.74"
"29/06/2024","Order Payment","203-9269788-7249946","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"29/06/2024","Order Payment","204-9332860-1853901","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
